 Time, Object, Value, Comments 
48.936107273,leftDrive,-91.5,target: -130.0
48.939553835,rightDrive,-93.85,target-130.0
48.948143835,leftDrive,-92.95,target: -130.0
48.953272012,rightDrive,-95.4,target-130.0
48.969099512,leftDrive,-94.3,target: -130.0
48.972072689,rightDrive,-97.95,target-130.0
48.984092794,leftDrive,-97.35,target: -130.0
48.989162064,rightDrive,-100.1,target-130.0
49.012053366,leftDrive,-100.75,target: -130.0
49.015070658,rightDrive,-103.35,target-130.0
49.021057637,leftDrive,-101.85,target: -130.0
49.024492169,rightDrive,-104.4,target-130.0
49.041333158,leftDrive,-104.3,target: -130.0
49.045273158,rightDrive,-107.0,target-130.0
49.053192533,leftDrive,-105.85,target: -130.0
49.056062429,rightDrive,-108.4,target-130.0
49.066594721,leftDrive,-107.35,target: -130.0
49.070073575,rightDrive,-110.05,target-130.0
49.075989825,leftDrive,-108.55,target: -130.0
49.079068158,rightDrive,-111.1,target-130.0
49.085512169,leftDrive,-109.65,target: -130.0
49.101290502,rightDrive,-112.45,target-130.0
49.108139096,leftDrive,-112.55,target: -130.0
49.111035762,rightDrive,-115.05,target-130.0
49.116989252,leftDrive,-113.6,target: -130.0
49.12003045,rightDrive,-116.15,target-130.0
49.131397116,leftDrive,-114.7,target: -130.0
49.135683679,rightDrive,-118.0,target-130.0
49.143105866,leftDrive,-116.85,target: -130.0
49.146615815,rightDrive,-119.4,target-130.0
49.153353939,leftDrive,-118.15,target: -130.0
49.16824946,rightDrive,-120.9,target-130.0
49.174035502,leftDrive,-120.8,target: -130.0
49.177080085,rightDrive,-123.3,target-130.0
49.183032689,leftDrive,-121.9,target: -130.0
49.186045815,rightDrive,-124.45,target-130.0
49.195841023,leftDrive,-123.0,target: -130.0
49.19924696,rightDrive,-126.15,target-130.0
49.206329825,leftDrive,-124.8,target: -130.0
49.209400033,rightDrive,-127.4,target-130.0
49.218107481,leftDrive,-126.15,target: -130.0
49.222171022,rightDrive,-128.9,target-130.0
49.235064721,leftDrive,-127.7,target: -130.0
49.238101856,rightDrive,-131.0,target-130.0
49.244041961,leftDrive,-129.5,target: -130.0
49.247072221,rightDrive,-132.05,target-130.0
