 Time, Object, Value, Comments 
137.037352447,leftDrive,-93.3,target: -130.0
137.04666078,rightDrive,-94.5,target-130.0
137.094512446,leftDrive,-100.05,target: -130.0
137.099751978,rightDrive,-101.25,target-130.0
137.112297655,leftDrive,-101.8,target: -130.0
137.115945311,rightDrive,-103.2,target-130.0
137.126579946,leftDrive,-103.85,target: -130.0
137.130525362,rightDrive,-104.85,target-130.0
137.15048281,leftDrive,-105.45,target: -130.0
137.154954007,rightDrive,-107.7,target-130.0
137.164486873,leftDrive,-108.25,target: -130.0
137.169337186,rightDrive,-109.3,target-130.0
137.186401925,leftDrive,-110.6,target: -130.0
137.191740363,rightDrive,-111.8,target-130.0
137.205741873,leftDrive,-112.9,target: -130.0
137.217108123,rightDrive,-114.65,target-130.0
137.229057759,leftDrive,-115.8,target: -130.0
137.233271769,rightDrive,-116.75,target-130.0
137.24636255,leftDrive,-117.25,target: -130.0
137.250596926,rightDrive,-118.65,target-130.0
137.260018541,leftDrive,-119.5,target: -130.0
137.264956978,rightDrive,-120.35,target-130.0
137.27886604,leftDrive,-121.2,target: -130.0
137.288074009,rightDrive,-122.6,target-130.0
137.300841978,leftDrive,-124.2,target: -130.0
137.305519373,rightDrive,-124.95,target-130.0
137.322839686,leftDrive,-126.7,target: -130.0
137.329552811,rightDrive,-127.75,target-130.0
137.338665727,leftDrive,-128.55,target: -130.0
137.34703729,rightDrive,-129.35,target-130.0
137.357880727,leftDrive,-130.9,target: -130.0
137.362703905,rightDrive,-131.45,target-130.0
