 Time, Object, Value, Comments 
131.265210679,gyro,7.5,target-7.0
131.350824272,gyro,7.25,target-7.0
131.4860537,gyro,7.1875,target-7.0
131.604376617,gyro,6.9375,target-7.0
131.71210271,gyro,6.5625,target-7.0
131.834318075,gyro,5.5625,target-7.0
131.936262294,gyro,3.8125,target-7.0
132.031479429,gyro,1.625,target-7.0
132.123947815,gyro,-0.25,target-7.0
132.247992345,gyro,-2.1875,target-7.0
132.382835835,gyro,-3.3125,target-7.0
132.720049689,SamplingSize,0.0,
132.850992241,SamplingSize,0.0,
133.087035886,SamplingSize,0.0,
133.283425001,SamplingSize,0.0,
133.470947344,SamplingSize,0.0,
133.629738907,SamplingSize,0.0,
133.768849688,SamplingSize,0.0,
133.939251407,SamplingSize,0.0,
134.153408178,SamplingSize,0.0,
134.345313178,SamplingSize,1.0,
134.346644115,SamplingObject,300.75537109375,Recognition(label=Gold Mineral, confidence=0.984, left=393, right=489, top=301, bottom=419, h: 117.92291, w: 95.73895
134.577554428,SamplingSize,1.0,
134.57910224,SamplingObject,300.830810546875,Recognition(label=Gold Mineral, confidence=0.984, left=393, right=489, top=301, bottom=419, h: 117.92297, w: 95.73895
134.748761876,SamplingSize,1.0,
134.749719011,SamplingObject,300.7978515625,Recognition(label=Gold Mineral, confidence=0.984, left=393, right=489, top=301, bottom=419, h: 117.92297, w: 95.73895
134.922785104,SamplingSize,1.0,
134.935419688,SamplingObject,300.78594970703125,Recognition(label=Gold Mineral, confidence=0.984, left=393, right=489, top=301, bottom=419, h: 117.92291, w: 95.73898
135.140866771,SamplingSize,1.0,
135.14324198,SamplingObject,300.927978515625,Recognition(label=Gold Mineral, confidence=0.984, left=393, right=489, top=301, bottom=419, h: 117.92297, w: 95.73898
135.359532136,SamplingSize,1.0,
135.360846771,SamplingObject,300.68475341796875,Recognition(label=Gold Mineral, confidence=0.984, left=393, right=489, top=301, bottom=419, h: 117.92297, w: 95.73895
135.461279063,SamplingSize,1.0,
135.462459688,SamplingObject,300.61834716796875,Recognition(label=Gold Mineral, confidence=0.984, left=393, right=489, top=301, bottom=419, h: 117.92297, w: 95.73898
135.714367552,SamplingSize,1.0,
135.715243073,SamplingObject,300.590087890625,Recognition(label=Gold Mineral, confidence=0.984, left=393, right=489, top=301, bottom=419, h: 117.97046, w: 95.77759
135.88616526,SamplingSize,2.0,
135.899074948,SamplingObject,300.3905029296875,Recognition(label=Gold Mineral, confidence=0.984, left=393, right=489, top=300, bottom=418, h: 117.97046, w: 95.77759
135.899805156,SamplingObject,917.8770751953125,Recognition(label=Silver Mineral, confidence=0.957, left=385, right=549, top=918, bottom=1085, h: 167.17773, w: 164.58066
136.09829125,gyro,-4.375,target-30.0
136.183191459,gyro,-4.75,target-30.0
136.271877187,gyro,-5.125,target-30.0
136.37084302,gyro,-5.4375,target-30.0
136.466779792,gyro,-6.125,target-30.0
136.560186718,gyro,-7.8125,target-30.0
136.684320208,gyro,-12.0625,target-30.0
136.762214062,gyro,-14.5625,target-30.0
136.866055677,gyro,-17.75,target-30.0
136.968898541,gyro,-21.4375,target-30.0
137.067985677,gyro,-24.1875,target-30.0
137.151457083,gyro,-27.0625,target-30.0
137.543675156,leftDrive,-0.6,target: -85.0
137.547882396,rightDrive,0.55,target-85.0
137.557843646,leftDrive,-1.1,target: -85.0
137.562597499,rightDrive,0.7,target-85.0
137.572763333,leftDrive,-2.2,target: -85.0
137.578863593,rightDrive,0.75,target-85.0
137.591734999,leftDrive,-2.6,target: -85.0
137.597764114,rightDrive,0.75,target-85.0
137.608234791,leftDrive,-3.05,target: -85.0
137.616157864,rightDrive,-0.4,target-85.0
137.626097708,leftDrive,-3.55,target: -85.0
137.632237499,rightDrive,-0.85,target-85.0
137.640031927,leftDrive,-4.2,target: -85.0
137.643895886,rightDrive,-1.2,target-85.0
137.661068229,leftDrive,-4.8,target: -85.0
137.667143958,rightDrive,-1.95,target-85.0
137.678244896,leftDrive,-5.75,target: -85.0
137.683665781,rightDrive,-2.65,target-85.0
137.703898021,leftDrive,-7.05,target: -85.0
137.708244375,rightDrive,-3.95,target-85.0
137.716243542,leftDrive,-7.8,target: -85.0
137.725146823,rightDrive,-4.6,target-85.0
137.73790125,leftDrive,-9.05,target: -85.0
137.744566094,rightDrive,-5.95,target-85.0
137.752111874,leftDrive,-10.05,target: -85.0
137.762292395,rightDrive,-6.8,target-85.0
137.770186354,leftDrive,-11.25,target: -85.0
137.774654844,rightDrive,-8.05,target-85.0
137.782911197,leftDrive,-12.15,target: -85.0
137.786926719,rightDrive,-8.95,target-85.0
137.804180313,leftDrive,-13.7,target: -85.0
137.810763854,rightDrive,-10.6,target-85.0
137.826170312,leftDrive,-15.05,target: -85.0
137.834059271,rightDrive,-12.35,target-85.0
137.852066301,leftDrive,-17.35,target: -85.0
137.8579675,rightDrive,-14.4,target-85.0
137.870179843,leftDrive,-18.9,target: -85.0
